Round,Rank,Value,Name,Team,Pos,Inj,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV,ftm/g,fgm/g,Zscore
1.0,1.0,0.8466722320000001,Nikola Jokic,DEN,C,,69.0,33.66763285,24.49275362,0.826086957,11.84057971,9.826086957000001,1.260869565,0.68115942,0.6320939329999999,14.811594199999998,0.821686747,6.014492754,3.579710145,1.163494511,-0.734343752,2.491048053,2.638997221,0.839474828,0.073691886,2.8315689330000002,0.351737304,-2.035618895,4.942028986,9.362318841,15.954552288596775
1.0,2.0,0.830444328,Joel Embiid,PHI,PF/C,,66.0,34.60833333,33.07575758,1.0,10.15151515,4.151515152,1.0,1.6969696969999999,0.548192771,20.12121212,0.857328145,11.68181818,3.4242424239999996,2.479945763,-0.573557431,1.7899642930000002,0.125548939,0.09693217900000001,2.07525289,1.505226166,1.8216900719999998,-1.847003919,10.01515152,11.03030303,15.607673814561744
1.0,5.0,0.683828255,Kevin Durant,PHO,SF/PF,,47.0,35.56843972,29.06382979,1.9787234040000001,6.659574468,5.0,0.723404255,1.425531915,0.560324826,18.34042553,0.9191616770000001,7.106382979,3.3191489360000004,1.864600904,0.33129325,0.340556756,0.501369857,-0.690373679,1.540409631,1.6800872530000002,2.306013781,-1.71950346,6.531914894,10.27659574,14.175728698091078
1.0,3.0,0.7542017540000001,Shai Gilgeous-Alexander,OKC,PG/SG,,68.0,35.52990196,31.39705882,0.852941176,4.8382352939999995,5.455882353,1.6470588240000001,0.955882353,0.509775525,20.30882353,0.9052774020000001,10.86764706,2.823529412,2.222468884,-0.709516452,-0.41543052,0.7032946459999999,1.938729142,0.6150082339999999,0.43519079,3.1162840189999996,-1.118212953,9.838235294,10.35294118,13.22610644794514
1.0,7.0,0.5838479089999999,Damian Lillard,POR,PG,,58.0,36.3204023,32.17241379,4.206896552,4.7758620689999995,7.327586207,0.8620689659999999,0.310344828,0.46256239600000004,20.72413793,0.913978495,9.620689655,3.293103448,2.341391935,2.391286891,-0.44131991299999995,1.532331796,-0.295676578,-0.656964267,-0.915318918,2.98680505,-1.687904817,8.793103448,9.586206897,12.972522312120756
1.0,6.0,0.599991599,Stephen Curry,GSW,PG,,56.0,34.6639881,29.42857143,4.875,6.089285714,6.285714286,0.9285714290000001,0.35714285700000004,0.493380406,20.23214286,0.914590747,5.0178571430000005,3.196428571,1.9205445559999998,3.008962791,0.103845743,1.070853595,-0.10638307,-0.564753041,-0.027446289,1.5649180059999999,-1.5706179009999999,4.589285714,9.982142857000001,12.92003271726115
2.0,16.0,0.407634216,Luka Doncic,DAL,PG/SG,Questionable - calf strain,66.0,36.21994949,32.39393939,2.8030303030000003,8.621212121000001,8.015151515,1.363636364,0.5,0.49620427899999997,21.95454545,0.742074928,10.51515152,3.5757575760000004,2.375369276,1.093382575,1.154778032,1.8368763330000002,1.131991629,-0.28326614,0.05744659,-1.6670467480000002,-2.030823599,7.803030303,10.89393939,11.596877102901063
1.0,4.0,0.708996485,Anthony Davis,LAL,PF/C,,56.0,34.00863095,25.91071429,0.33928571399999996,12.53571429,2.642857143,1.053571429,2.035714286,0.563409563,17.17857143,0.783783784,7.928571429,2.1785714290000002,1.380979683,-1.184401893,2.779579097,-0.5426836629999999,0.249418616,2.7427180410000003,1.646490236,-0.35538819899999996,-0.33574355200000006,6.214285714,9.678571429,11.161393124372315
1.0,11.0,0.514611423,Jayson Tatum,BOS,SF/PF,,74.0,36.92207207,30.06756757,3.243243243,8.77027027,4.621621622,1.054054054,0.689189189,0.466324567,21.06756757,0.8536977490000001,8.405405405,2.8783783780000003,2.0185530469999997,1.500368835,1.216647928,0.333774042,0.250792368,0.089513809,-0.820136902,1.226745945,-1.184756262,7.175675676,9.824324323999999,11.097318063853894
2.0,17.0,0.400140348,James Harden,PHI,PG/SG,Questionable - not w/ sixers,58.0,36.81034483,20.96551724,2.7758620689999995,6.103448276,10.65517241,1.224137931,0.534482759,0.44061757700000004,14.51724138,0.8670360109999999,6.2241379310000005,3.3620689660000003,0.62249106,1.068264962,0.10972422800000001,3.0062255319999998,0.734921409,-0.21532102600000003,-1.087672376,1.134203804,-1.771574464,5.396551724,6.396551724,11.088682767762913
1.0,8.0,0.5650080679999999,Tyrese Haliburton,IND,PG/SG,,56.0,33.62470238,20.71428571,2.875,3.660714286,10.44642857,1.625,0.446428571,0.489892985,15.01785714,0.8706467659999999,3.589285714,2.517857143,0.583957458,1.159920096,-0.904186768,2.913766247,1.8759406090000001,-0.388823728,-0.096414763,0.6882818,-0.747368335,3.125,7.357142857,10.522206268600002
1.0,9.0,0.550476356,Kyrie Irving,DAL,PG/SG,Questionable - groin,60.0,37.34083333,27.05,3.133333333,5.066666667,5.516666667000001,1.1,0.75,0.49376558600000003,20.05,0.904761905,4.55,2.133333333,1.555722012,1.398754777,-0.32061500600000004,0.7302179520000001,0.381573528,0.20933593600000003,-0.016581399,1.296739649,-0.280860247,4.116666667,9.9,9.66699110330419
2.0,15.0,0.42915781399999997,Donovan Mitchell,CLE,PG/SG,,68.0,35.76911765,28.26470588,3.6029411760000003,4.25,4.426470588,1.455882353,0.397058824,0.48430813100000003,20.61764706,0.866847826,5.4117647060000005,2.647058824,1.7420322,1.8329172530000002,-0.659590644,0.247335444,1.3945618569999998,-0.48610228899999997,-0.28765357399999997,0.983037169,-0.9041170909999999,4.691176471,9.985294117999999,9.646088085153867
5.0,51.0,0.051758768,Trae Young,ATL,PG,,73.0,34.80547945,26.21917808,2.109589041,2.97260274,10.15068493,1.0958904109999998,0.123287671,0.42949640299999997,19.04109589,0.885758998,8.753424658,4.109589041,1.4282915040000002,0.452281325,-1.189802748,2.782771985,0.36987593799999996,-1.025543241,-1.716930263,2.043357626,-2.678473211,7.753424657999999,8.178082192,9.600436954891927
3.0,30.0,0.18025133100000001,LaMelo Ball,CHA,PG/SG,,36.0,35.2162037,23.27777778,4.0,6.416666667,8.444444444,1.277777778,0.305555556,0.410540915,20.02777778,0.836065574,3.388888889,3.583333333,0.9771429159999999,2.2000066119999997,0.239732478,2.027023822,0.887602592,-0.666401088,-2.332790341,0.329959572,-2.040014583,2.833333333,8.222222222000001,9.402179220763228
2.0,23.0,0.270904547,LeBron James,LAL,SF/PF,,55.0,35.52515152,28.90909091,2.2,8.309090909,6.818181817999999,0.9090909090000001,0.581818182,0.49958982799999996,22.16363636,0.7675840979999999,5.945454545,3.236363636,1.8408672330000002,0.535868186,1.0252251909999999,1.3067003959999999,-0.161832683,-0.122050915,0.162385345,-0.5299543170000001,-1.6190675159999999,4.563636364,11.07272727,9.357342014009841
3.0,25.0,0.257983648,Paul George,LAC,SG/SF/PF,,56.0,34.62410714,23.78571429,2.821428571,6.107142857,5.1428571430000005,1.482142857,0.35714285700000004,0.457171315,17.92857143,0.8707482990000001,5.25,3.142857143,1.055049632,1.110392167,0.11125774599999999,0.564645828,1.469310111,-0.564753041,-0.9278677059999999,1.009442612,-1.505624514,4.571428571,8.196428571,9.115004815765333
