Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,zscore
249,Nikola Joki?,C,27,DEN,69,69,33.7,9.4,14.8,0.632,0.8,2.2,0.38299999999999995,8.5,12.7,0.675,0.66,4.9,6.0,0.8220000000000001,2.4,9.4,11.8,9.8,1.3,0.7,3.6,2.5,24.5,12.990375034703435
143,Joel Embiid,C,28,PHI,66,66,34.6,11.0,20.1,0.5479999999999999,1.0,3.0,0.33,10.0,17.1,0.5870000000000001,0.573,10.0,11.7,0.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1,12.18086477655808
125,Luka Don?i?,PG,23,DAL,66,66,36.2,10.9,22.0,0.496,2.8,8.2,0.342,8.1,13.8,0.588,0.56,7.8,10.5,0.742,0.8,7.8,8.6,8.0,1.4,0.5,3.6,2.5,32.4,11.71239072621428
11,Giannis Antetokounmpo,PF,28,MIL,63,63,32.1,11.2,20.3,0.5529999999999999,0.7,2.7,0.275,10.5,17.6,0.596,0.5720000000000001,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,11.239019819482577
110,Anthony Davis,C,29,LAL,56,54,34.0,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,0.573,6.2,7.9,0.784,3.5,9.1,12.5,2.6,1.1,2.0,2.2,2.6,25.9,10.83150072932613
164,Shai Gilgeous-Alexander,PG,24,OKC,68,68,35.5,10.4,20.3,0.51,0.9,2.5,0.345,9.5,17.8,0.5329999999999999,0.531,9.8,10.9,0.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,2.8,31.4,9.438008927749568
190,James Harden,PG,33,PHI,58,58,36.8,6.4,14.5,0.441,2.8,7.2,0.385,3.6,7.3,0.495,0.536,5.4,6.2,0.867,0.7,5.4,6.1,10.7,1.2,0.5,3.4,1.9,21.0,9.434825350274462
239,LeBron James,PF,38,LAL,55,54,35.5,11.1,22.2,0.5,2.2,6.9,0.321,8.9,15.3,0.58,0.5489999999999999,4.6,5.9,0.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,28.9,8.870890245638176
21,LaMelo Ball,PG,21,CHO,36,36,35.2,8.2,20.0,0.41100000000000003,4.0,10.6,0.376,4.2,9.4,0.45,0.51,2.8,3.4,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,8.821881346535255
137,Kevin Durant,PF,34,TOT,47,47,35.6,10.3,18.3,0.56,2.0,4.9,0.40399999999999997,8.3,13.4,0.617,0.614,6.5,7.1,0.919,0.4,6.3,6.7,5.0,0.7,1.4,3.3,2.1,29.1,8.8031572187135
465,Jayson Tatum,SF,24,BOS,74,74,36.9,9.8,21.1,0.466,3.2,9.3,0.35,6.6,11.8,0.5579999999999999,0.5429999999999999,7.2,8.4,0.8540000000000001,1.1,7.7,8.8,4.6,1.1,0.7,2.9,2.2,30.1,8.603715222234943
428,Domantas Sabonis,C,26,SAC,79,79,34.6,7.3,11.9,0.615,0.4,1.1,0.373,6.9,10.8,0.639,0.632,4.1,5.5,0.742,3.2,9.1,12.3,7.3,0.8,0.5,2.9,3.5,19.1,8.495318382595825
536,Trae Young,PG,24,ATL,73,73,34.8,8.2,19.0,0.429,2.1,6.3,0.335,6.1,12.7,0.47600000000000003,0.485,7.8,8.8,0.8859999999999999,0.8,2.2,3.0,10.2,1.1,0.1,4.1,1.4,26.2,8.259847588730548
140,Anthony Edwards,SG,21,MIN,79,79,36.0,8.9,19.5,0.45899999999999996,2.7,7.3,0.369,6.3,12.2,0.513,0.528,4.0,5.3,0.7559999999999999,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.6,8.188117569499417
346,Ja Morant,PG,23,MEM,61,59,31.9,9.3,19.9,0.466,1.5,4.9,0.307,7.8,15.0,0.519,0.504,6.1,8.1,0.748,1.0,4.9,5.9,8.1,1.1,0.3,3.4,1.6,26.2,8.120413957555433
235,Jaren Jackson Jr.,C,23,MEM,63,63,28.4,6.6,13.0,0.506,1.6,4.5,0.355,5.0,8.6,0.585,0.5670000000000001,3.8,4.9,0.7879999999999999,1.7,5.0,6.8,1.0,1.0,3.0,1.7,3.6,18.6,7.954886441162206
186,Tyrese Haliburton,PG,22,IND,56,56,33.6,7.4,15.0,0.49,2.9,7.2,0.4,4.5,7.8,0.5720000000000001,0.586,3.1,3.6,0.871,0.6,3.1,3.7,10.4,1.6,0.4,2.5,1.2,20.7,7.949272877594419
527,Zion Williamson,PF,22,NOP,29,29,33.0,9.8,16.2,0.608,0.2,0.7,0.368,9.6,15.5,0.618,0.615,6.1,8.6,0.7140000000000001,2.0,5.0,7.0,4.6,1.1,0.6,3.4,2.2,26.0,7.561837273386205
292,Damian Lillard,PG,32,POR,58,58,36.3,9.6,20.7,0.46299999999999997,4.2,11.3,0.371,5.4,9.4,0.574,0.564,8.8,9.6,0.914,0.8,4.0,4.8,7.3,0.9,0.3,3.3,1.9,32.2,7.505453474497923
161,Paul George,SF,32,LAC,56,56,34.6,8.2,17.9,0.457,2.8,7.6,0.371,5.4,10.3,0.521,0.536,4.6,5.3,0.871,0.8,5.3,6.1,5.1,1.5,0.4,3.1,2.8,23.8,7.318651227780757
108,Stephen Curry,PG,34,GSW,56,56,34.7,10.0,20.2,0.493,4.9,11.4,0.42700000000000005,5.1,8.8,0.579,0.614,4.6,5.0,0.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1,29.4,7.269970662851221
393,Kristaps Porzi??is,C,27,WAS,65,65,32.6,7.8,15.7,0.498,2.1,5.5,0.385,5.7,10.2,0.5589999999999999,0.565,5.4,6.4,0.851,1.8,6.6,8.4,2.7,0.9,1.5,2.1,3.0,23.2,6.841255049193612
173,RaiQuan Gray,PF,23,BRK,1,0,35.0,6.0,12.0,0.5,2.0,5.0,0.4,4.0,7.0,0.5710000000000001,0.583,2.0,2.0,1.0,3.0,6.0,9.0,7.0,0.0,1.0,4.0,5.0,16.0,6.804403019976837
485,Fred VanVleet,PG,28,TOR,69,69,36.7,6.3,16.1,0.39299999999999996,3.0,8.8,0.342,3.3,7.3,0.455,0.486,3.7,4.1,0.898,0.4,3.6,4.1,7.2,1.8,0.6,2.0,2.8,19.3,6.747418464961471
3,Bam Adebayo,C,25,MIA,75,75,34.6,8.0,14.9,0.54,0.0,0.2,0.083,8.0,14.7,0.545,0.541,4.3,5.4,0.8059999999999999,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4,6.635615469377849
94,Nic Claxton,C,23,BRK,76,76,29.9,5.4,7.7,0.705,0.0,0.0,0.0,5.4,7.7,0.708,0.705,1.8,3.2,0.541,2.4,6.8,9.2,1.9,0.9,2.5,1.3,2.8,12.6,6.588950524558742
507,Russell Westbrook,PG,34,TOT,73,24,29.1,5.9,13.6,0.436,1.2,3.9,0.311,4.7,9.7,0.48700000000000004,0.48100000000000004,2.8,4.3,0.6559999999999999,1.2,4.6,5.8,7.5,1.0,0.5,3.5,2.2,15.9,6.5393718746110885
