Round,Rank,Value,Name,Team,Pos,Inj,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV,ftm/g,Zscore
2,16,0.407634216,Luka Doncic,DAL,PG/SG,Questionable - calf strain,66,36.21994949,32.39393939,2.803030303,8.621212121,8.015151515,1.363636364,0.5,0.496204279,21.95454545,0.742074928,10.51515152,3.575757576,2.375369276,1.093382575,1.154778032,1.836876333,1.131991629,-0.28326614,0.05744659,-1.667046748,-2.030823599,7.803030303,12.59500936
1,1,0.846672232,Nikola Jokic,DEN,C,,69,33.66763285,24.49275362,0.826086957,11.84057971,9.826086957,1.260869565,0.68115942,0.632093933,14.8115942,0.821686747,6.014492754,3.579710145,1.163494511,-0.734343752,2.491048053,2.638997221,0.839474828,0.073691886,2.831568933,0.351737304,-2.035618895,4.942028986,11.67118234
1,2,0.830444328,Joel Embiid,PHI,PF/C,,66,34.60833333,33.07575758,1,10.15151515,4.151515152,1,1.696969697,0.548192771,20.12121212,0.857328145,11.68181818,3.424242424,2.479945763,-0.573557431,1.789964293,0.125548939,0.096932179,2.07525289,1.505226166,1.821690072,-1.847003919,10.01515152,11.07104628
3,30,0.180251331,LaMelo Ball,CHA,PG/SG,,36,35.2162037,23.27777778,4,6.416666667,8.444444444,1.277777778,0.305555556,0.410540915,20.02777778,0.836065574,3.388888889,3.583333333,0.977142916,2.200006612,0.239732478,2.027023822,0.887602592,-0.666401088,-2.332790341,0.329959572,-2.040014583,2.833333333,11.04891819
2,17,0.400140348,James Harden,PHI,PG/SG,Questionable - not w/ sixers,58,36.81034483,20.96551724,2.775862069,6.103448276,10.65517241,1.224137931,0.534482759,0.440617577,14.51724138,0.867036011,6.224137931,3.362068966,0.62249106,1.068264962,0.109724228,3.006225532,0.734921409,-0.215321026,-1.087672376,1.134203804,-1.771574464,5.396551724,10.40800191
1,6,0.599991599,Stephen Curry,GSW,PG,,56,34.6639881,29.42857143,4.875,6.089285714,6.285714286,0.928571429,0.357142857,0.493380406,20.23214286,0.914590747,5.017857143,3.196428571,1.920544556,3.008962791,0.103845743,1.070853595,-0.10638307,-0.564753041,-0.027446289,1.564918006,-1.570617901,4.589285714,10.3631674
9,104,-0.154011025,Giannis Antetokounmpo,MIL,PF/C,,63,32.11931217,31.0952381,0.746031746,11.77777778,5.698412698,0.825396825,0.80952381,0.553208138,20.28571429,0.64507772,12.25396825,3.904761905,2.176175968,-0.808356503,2.464980716,0.810719048,-0.400060652,0.326622144,1.659015323,-5.185220364,-2.429974904,7.904761905,9.975107687
1,11,0.514611423,Jayson Tatum,BOS,SF/PF,,74,36.92207207,30.06756757,3.243243243,8.77027027,4.621621622,1.054054054,0.689189189,0.466324567,21.06756757,0.853697749,8.405405405,2.878378378,2.018553047,1.500368835,1.216647928,0.333774042,0.250792368,0.089513809,-0.820136902,1.226745945,-1.184756262,7.175675676,9.831570661
1,7,0.583847909,Damian Lillard,POR,PG,,58,36.3204023,32.17241379,4.206896552,4.775862069,7.327586207,0.862068966,0.310344828,0.462562396,20.72413793,0.913978495,9.620689655,3.293103448,2.341391935,2.391286891,-0.441319913,1.532331796,-0.295676578,-0.656964267,-0.915318918,2.98680505,-1.687904817,8.793103448,9.796503801
1,8,0.565008068,Tyrese Haliburton,IND,PG/SG,,56,33.62470238,20.71428571,2.875,3.660714286,10.44642857,1.625,0.446428571,0.489892985,15.01785714,0.870646766,3.589285714,2.517857143,0.583957458,1.159920096,-0.904186768,2.913766247,1.875940609,-0.388823728,-0.096414763,0.6882818,-0.747368335,3.125,9.267690377
4,40,0.11810262,Anthony Edwards,MIN,SG/SF,,79,35.9685654,24.63291139,2.696202532,5.797468354,4.430379747,1.582278481,0.734177215,0.458792992,19.50632911,0.755924171,5.341772152,3.278481013,1.184991748,0.99461802,-0.017279534,0.249066935,1.754337501,0.178158589,-0.964450561,-0.646354387,-1.670164734,4.037974684,9.167498935
2,23,0.270904547,LeBron James,LAL,SF/PF,,55,35.52515152,28.90909091,2.2,8.309090909,6.818181818,0.909090909,0.581818182,0.499589828,22.16363636,0.767584098,5.945454545,3.236363636,1.840867233,0.535868186,1.025225191,1.306700396,-0.161832683,-0.122050915,0.162385345,-0.529954317,-1.619067516,4.563636364,9.142558678
1,4,0.708996485,Anthony Davis,LAL,PF/C,,56,34.00863095,25.91071429,0.339285714,12.53571429,2.642857143,1.053571429,2.035714286,0.563409563,17.17857143,0.783783784,7.928571429,2.178571429,1.380979683,-1.184401893,2.779579097,-0.542683663,0.249418616,2.742718041,1.646490236,-0.355388199,-0.335743552,6.214285714,9.032033362
1,5,0.683828255,Kevin Durant,PHO,SF/PF,,47,35.56843972,29.06382979,1.978723404,6.659574468,5,0.723404255,1.425531915,0.560324826,18.34042553,0.919161677,7.106382979,3.319148936,1.864600904,0.33129325,0.340556756,0.501369857,-0.690373679,1.540409631,1.680087253,2.306013781,-1.71950346,6.531914894,8.82383639
5,51,0.051758768,Trae Young,ATL,PG,,73,34.80547945,26.21917808,2.109589041,2.97260274,10.15068493,1.095890411,0.123287671,0.429496403,19.04109589,0.885758998,8.753424658,4.109589041,1.428291504,0.452281325,-1.189802748,2.782771985,0.369875938,-1.025543241,-1.716930263,2.043357626,-2.678473211,7.753424658,8.445493182
1,3,0.754201754,Shai Gilgeous-Alexander,OKC,PG/SG,,68,35.52990196,31.39705882,0.852941176,4.838235294,5.455882353,1.647058824,0.955882353,0.509775525,20.30882353,0.905277402,10.86764706,2.823529412,2.222468884,-0.709516452,-0.41543052,0.703294646,1.938729142,0.615008234,0.43519079,3.116284019,-1.118212953,9.838235294,8.433578677
3,25,0.257983648,Paul George,LAC,SG/SF/PF,,56,34.62410714,23.78571429,2.821428571,6.107142857,5.142857143,1.482142857,0.357142857,0.457171315,17.92857143,0.870748299,5.25,3.142857143,1.055049632,1.110392167,0.111257746,0.564645828,1.469310111,-0.564753041,-0.927867706,1.009442612,-1.505624514,4.571428571,8.325196979
2,15,0.429157814,Donovan Mitchell,CLE,PG/SG,,68,35.76911765,28.26470588,3.602941176,4.25,4.426470588,1.455882353,0.397058824,0.484308131,20.61764706,0.866847826,5.411764706,2.647058824,1.7420322,1.832917253,-0.659590644,0.247335444,1.394561857,-0.486102289,-0.287653574,0.983037169,-0.904117091,4.691176471,8.102834794
2,18,0.352967063,Fred VanVleet,TOR,PG,,69,36.73888889,19.34782609,3,4.057971014,7.173913043,1.782608696,0.550724638,0.392985612,16.11594203,0.897526502,4.101449275,2.028985507,0.374371456,1.275485264,-0.739296539,1.464265066,2.324560126,-0.183317893,-2.272770999,1.087671517,-0.154264433,3.68115942,7.912600136
1,12,0.493345609,Jaren Jackson Jr.,MEM,PF/C,,63,28.37248677,18.61904762,1.587301587,6.761904762,0.952380952,1.031746032,3,0.506082725,13.04761905,0.787581699,4.857142857,1.698412698,0.262592255,-0.030584576,0.383031217,-1.291449318,0.187294512,4.64275462,0.208111512,-0.168429512,0.246789767,3.825396825,7.501030041
8,93,-0.105648975,Ja Morant,MEM,PG,Suspended - suspension (0g) - 12/19/2023,61,31.93989071,26.16393443,1.508196721,5.852459016,8.081967213,1.081967213,0.262295082,0.466227348,19.90163934,0.748490946,8.147540984,3.37704918,1.419818296,-0.103718713,0.005545562,1.866471131,0.33024476,-0.751641885,-0.77813796,-1.14967336,-1.789748609,6.098360656,7.455280631
1,9,0.550476356,Kyrie Irving,DAL,PG/SG,Questionable - groin,60,37.34083333,27.05,3.133333333,5.066666667,5.516666667,1.1,0.75,0.493765586,20.05,0.904761905,4.55,2.133333333,1.555722012,1.398754777,-0.320615006,0.730217952,0.381573528,0.209335936,-0.016581399,1.296739649,-0.280860247,4.116666667,7.438600077
2,14,0.467826544,Kristaps Porzingis,WAS,PF/C,,65,32.60846154,23.15384615,2.107692308,8.4,2.676923077,0.892307692,1.538461538,0.498035363,15.66153846,0.850961538,6.4,2.107692308,0.958134426,0.450527754,1.062959028,-0.527594777,-0.209604658,1.762927099,0.077201869,0.885640457,-0.249752301,5.446153846,7.012949033
